Recipe,Ingredients,Link to the whole recipe,Suitable for Vegans
Vegetable-Pasta Oven Omelet,"tomato, onions, red pepper, garlic, olive oil, zucchini, cream cheese, vermicelli, eggs, parmesan cheese, milk, italian seasoning, salt, black pepper",http://find.myrecipes.com/recipes/recipefinder.dyn?action=displayRecipe&recipe_id=520763,False
Roasted Pepper and Bacon Omelet,"eggs, salt, black pepper, butter, black pepper, bacon, onions, garlic, roasted red peppers, oregano, black pepper",http://www.bigoven.com/43919-Roasted-Pepper-and-Bacon-Omelet-recipe.html,False
"
Broccoli Oven Omelet Recipe

","eggs, broccoli, onions, parmesan cheese, lowfat milk, salt, basil, garlic, tomato, parmesan cheese",http://cookeatshare.com/recipes/broccoli-oven-omelet-92851,False
Eggplant Omelet with Coriander and Caraway,"caraway seed, coriander, eggplant, eggs, garlic, lemon, olive oil, onions, black pepper, salt",http://www.epicurious.com/recipes/food/views/Eggplant-Omelet-with-Coriander-and-Caraway-306,False
Eggplant Omelet with Coriander And Caraway,"eggplant, olive oil, onions, garlic, egg, caraway seed, coriander, salt, black pepper, lemon",http://www.bigoven.com/143831-Eggplant-Omelet-with-Coriander-And-Caraway-recipe.html,True
Broccoli and Cheese Omelet,"onions, garlic, chicken broth, cottage cheese, oregano, black pepper, egg substitute, bread, mozzarella cheese, butter",http://www.bigoven.com/45151-Broccoli-and-Cheese-Omelet-recipe.html,False
Chard And Onion Omelet,"olive oil, onions, leaves, garlic, eggs, parsley, basil, thyme, gruyere cheese, parmesan cheese",http://www.bigoven.com/149383-Chard-And-Onion-Omelet-recipe.html,False
Picnic Omelet Squares Recipe,"eggs, garlic, parmesan cheese, olive oil, onions, peas, potato, red pepper, salt, tomato, zucchini",http://www.cdkitchen.com/recipes/recs/2184/Picnic-Omelet-Squares99498.shtml,False
Spanish Omelet,"vegetable oil, green pepper, onions, water, milk, eggs, black pepper, mushroom, garlic, salt, chili powder","http://www.cooks.com/rec/view/0,185,153160-249194,00.html",False
Onion and Fresh Herb Omelet with Mixed Greens,"egg substitute, milk, parsley, thyme, salt, black pepper, eggs, flour, nonstick cooking spray, onions, garlic, salad greens, salad greens, red wine vinegar, olive oil, goat cheese, almonds",http://find.myrecipes.com/recipes/recipefinder.dyn?action=displayRecipe&recipe_id=1622444,False
Death by Chocolate Chocolate Chocolate Chocolate Nuggets,"baking soda, butter, eggs, flour, sugar, brown sugar, chocolate, salt, semisweet chocolate chips, semisweet chocolate, vanilla extract",http://www.recipezaar.com/Death-by-Chocolate-Chocolate-Chocolate-Chocolate-Nuggets-174302,False
Chocolate Chocolate Chocolate Butterscotch Chip Cookies Recipe,"cocoa powder, baking soda, brown sugar, butterscotch chips, eggs, flour, milk chocolate, salt, semisweet chocolate chips, sugar, vanilla extract",http://www.grouprecipes.com/50195/chocolate-chocolate-chocolate-butterscotch-chip-cookies.html,False
Chocolate Chocolate Chocolate Cashew Cookies (with Raisins),"baking soda, brown sugar, butter, chocolate, eggs, flour, margarine, milk chocolate chips, raisins, salt, semisweet chocolate chips, sugar, cocoa powder, vanilla extract, white chocolate chips",http://www.recipezaar.com/Chocolate-Chocolate-Chocolate-Cashew-Cookies-with-Raisins-115515,False
Gluten-Free Chocolate Chocolate Chocolate!!! Cookies,"butter, chili powder, eggs, baking powder, flour, salt, semisweet chocolate, semisweet chocolate chips, sugar, chocolate, vanilla extract",http://www.recipezaar.com/Gluten-Free-Chocolate-Chocolate-Chocolate-Cookies-352445,False
Chocolate-Chocolate-Chocolate Brownies,"sugar, flour, eggs, butter","http://www.cooks.com/rec/view/0,1910,153177-247200,00.html",False
Hawaiian Vintage Chocolate Chocolate Souffle with Grand Marnier Chocolate Sauce,"triple sec, powdered sugar, egg whites, egg yolks, triple sec, semisweet chocolate, sugar, butter",http://www.foodnetwork.com/recipes/emeril-lagasse/hawaiian-vintage-chocolate-chocolate-souffle-with-grand-marnier-chocolate-sauce-recipe/index.html,False
"Chocolate Pate A Choux Dough, for Chocolate Profiteroles with Pistachio Ice Cream and Chocolate Sauce","cocoa powder, powdered sugar, eggs, bread flour, chocolate, ice cream, salt, sugar, water",http://www.foodnetwork.com/recipes/emeril-lagasse/chocolate-pate-choux-dough-chocolate-profiteroles-pistachio-ice-cream-chocolate-sauce-recipe/index.html,False
Chocolate-Chocolate-Chocolate-Chip Fudge Cake,"butter, butter, sugar, eggs, flour, cocoa powder, baking soda, baking powder, salt, milk, vanilla extract, liqueur, sugar, heavy cream, chocolate, corn syrup, butter, heavy cream, cocoa powder, semisweet chocolate chips, cocoa powder, corn syrup, sugar",http://www.bigoven.com/68958-Chocolate-Chocolate-Chocolate-Chip-Fudge-Cake-recipe.html,False
Double Chocolate Cookies &amp; Mint Chocolate Variation,"flour, cocoa powder, baking soda, butter, eggs, salt, semisweet chocolate chips, sugar, vanilla extract",http://www.recipezaar.com/Double-Chocolate-Cookies-Mint-Chocolate-Variation-275188,False
"White Chocolate, Chocolate Cookies","baking soda, brown sugar, cocoa powder, eggs, flour, butter, white chocolate chips, sugar",http://allrecipes.com/Recipe/White-Chocolate-Chocolate-Cookies/Detail.aspx,False
Quick N Easy Basic Tomatoe Sauce Recipe,"bay leaves, onions, ground beef, oregano, basil, garlic, brown sugar, olive oil",http://www.grouprecipes.com/57990/quick-n-easy-basic-tomatoe-sauce.html,False
"Buddha's Happy Belly: Curried Lentils, Cauliflower &amp; Tomatoe","lentils, curry powder, tomato, garlic, green onion, cumin, cauliflower, olive oil, paprika",http://www.recipezaar.com/Buddhas-Happy-Belly-Curried-Lentils-Cauliflower-Tomatoe-345598,True
Tomatoe Sauce Recipe,"sugar, garlic, italian seasoning, red pepper, salt, of a",http://www.grouprecipes.com/67207/tomatoe-sauce.html,True
Tomatoe And Cucumber Salad Recipe,"basil, chives, garlic, oregano, parsley, rosemary, sea salt, apple cider vinegar, olive oil, red wine vinegar, thyme",http://www.grouprecipes.com/20231/tomatoe-and-cucumber-salad.html,True
Chicken Stewed Tomatoe Parmigiana Recipe,"chicken, italian seasoning, flour, mozzarella cheese, mushroom, cheese, cornstarch, oregano",http://www.grouprecipes.com/10397/chicken-stewed-tomatoe-parmigiana.html,False
Fish With Curry Tomatoe Sauce Recipe,"olive oil, garlic, white fish fillets, okra, onions, parsley, soy sauce, sugar, tomato, curry powder",http://www.grouprecipes.com/40184/fish-with-curry-tomatoe-sauce.html,False
Turkey Tomatoe Tortilla Recipe,"turkey, flour tortillas, basil",http://www.grouprecipes.com/57018/turkey-tomatoe-tortilla.html,False
Green Tomatoe Garlic Dill Pickles - Canned Recipe,"dill sprigs, hot pepper, green tomato, salt, pickle, dill seed, water, vinegar",http://www.grouprecipes.com/14462/green-tomatoe-garlic-dill-pickles---canned.html,True
Tomatoe Zucchini Soup Recipe,"chicken broth, onions, parsley, butter, tomato, dill weed, sugar, basil, celery, oregano, salt, zucchini",http://www.grouprecipes.com/10139/tomatoe-zucchini-soup.html,False
Dried Tomatoe Burgers Recipe,"spinach, jalapeno, ground beef, lime, mayonnaise, hamburger bun, black pepper, salt, basil",http://www.grouprecipes.com/51108/dried-tomatoe-burgers.html,False
Flavored Frothed Milk,"coffee, water, milk",http://www.recipezaar.com/Flavored-Frothed-Milk-345958,False
Mixed Berry Milk for Drinking or Cereal (Non-Dairy),"berries, honey, soymilk",http://www.recipezaar.com/Mixed-Berry-Milk-for-Drinking-or-Cereal-Non-Dairy-229989,False
Coffee Vanilla Soy Milk,"coffee, soymilk",http://www.recipezaar.com/Coffee-Vanilla-Soy-Milk-285348,False
Dry Nonfat Milk Pumpkin Pie,"cinnamon, eggs, ginger, milk powder, pastry shells, pumpkin puree, salt, sugar, water",http://www.recipezaar.com/Dry-Nonfat-Milk-Pumpkin-Pie-316355,False
Milk-egg-wheat-gluten-corn Free Buckwheat Pancakes Recipe,"flour, olive oil, potato starch, sugar, corn, salt",http://www.grouprecipes.com/22004/milk-egg-wheat-gluten-corn-free-buckwheat-pancakes.html,True
Holiday Milk Punch: the New Eggnog,"brandy, rum, whole milk, nutmeg, sugar, vanilla extract",http://allrecipes.com/Recipe/Holiday-Milk-Punch-the-New-Eggnog/Detail.aspx,False
Easy and Simple Chocolate Milk or Soy Milk,"cocoa powder, skim milk, sugar",http://www.recipezaar.com/easy-and-simple-chocolate-milk-or-soy-milk-375899,False
